567	10537014
2507	7414970
1769	268434
3586	12027935
4016	6182629
725	7391808
4620	3672685
1250	9105981
349	905530
996	11503479
1702	10522230
1754	498713
1822	3881002
4311	885894
4398	1563900
2391	11644301
3878	922
2996	6197836
3841	1620328
3265	1844644
2444	8970797
3081	7410049
3475	5698860
1129	681919
3186	9054612
1127	1072254
2596	3926299
2979	6184860
2442	359179
3979	6102507
1760	10539380
1599	3718401
2235	6535413
1700	7397599
1323	3674982
2917	1024974
1660	1832185
911	1797087
1826	11329017
1637	6157820
3135	1191954
1333	11339173
3587	355519
3213	517692
2143	537192
2357	3813161
1771	288434
830	827228
4485	10533676
3070	11085080
796	1014977
3585	414062
679	6142431
1862	16059
3917	10519920
546	11528911
1249	7414732
1856	10808616
1398	470001
2649	1785554
4421	1615427
3854	1251194
3132	3498132
1426	8288600
1726	6190266
3992	6169865
1837	11479316
922	4148931
4543	6217107
4903	4011991
3293	3550902
2450	1702282
1718	9012950
1080	11245025
2849	2240179
1580	6169888
1242	9242288
780	6183992
3958	10515743
1997	6437113
2640	6138280
2912	2906585
1338	3943769
3914	3556136
3405	4072848
4998	1271802
3657	10518012
4468	1173838
2658	3793220
3929	675364
57	4238292
873	2125107
117	1777845
3943	1492076
1169	1138358
366	12090159
3093	7412072
3995	7414970
322	2231976
2814	11318417
3181	6204802
885	888548
1151	6635256
2480	1806710
3600	6519847
412	11705240
2425	1094404
2571	10539910
2524	9012707
4932	3660685
4622	1432372
1125	541307
2079	326006
1739	807996
3581	9339665
805	2816054
587	1834632
1298	1859609
760	6142620
763	5736599
3165	910598
1387	1396171
1105	3659871
1757	3586471
4113	4131617
4046	11598376
55	3163954
561	6659290
944	11458139
1860	11004467
2674	5542939
237	1023489
4015	6057216
2657	10540931
2947	832967
1466	11318268
1384	3951601
564	12033482
1878	1132886
4832	11298743
2445	8954878
346	968773
3310	521548
123	9096575
2123	12111046
105	1218571
2971	1556463
882	12085097
71	1594138
1623	1436170
4776	1411519
4531	9589
2560	312416
148	12027206
1004	11682458
3589	6188392
3945	3426892
2484	1283100
2514	11170078
4641	881122
4339	11343155
2736	11324875
704	10532689
1026	2078542
2034	12256746
3237	84875
1846	438918
2871	2165992
2380	11428673
4929	10533669
2952	3010069
985	6225793
4157	7403218
2955	1009945
2688	9172349
4289	6533417
4454	109452
70	1037228
1417	9050027
3936	870343
3109	10514965
4445	165236
1445	654210
3650	1165194
1850	10818492
520	7410296
698	9257328
1832	12518264
169	1690837
4517	4313808
318	10532442
4202	7649913
768	94610
2922	2097615
2095	1524630
800	3850257
3920	392534
736	2216676
3434	10535575
693	9053595
3486	1569095
2722	5724745
936	6174831
1996	6442968
4355	10517777
3071	11622152
755	6593425
4153	1938914
1457	6472803
3095	1412815
2792	10531701
1212	6137480
3874	10510724
1816	5456
3740	3771370
3737	1977330
2994	6183213
2173	10547108
4189	7846072
1265	1758345
524	11100379
3916	3785230
2354	474683
4914	12516300
120	10542620
2456	3910596
728	7403960
3282	3502936
2850	6143129
88	6172406
3470	4032630
2698	6128087
1407	3547759
1085	11390058
4451	1694967
565	10538967
181	6931931
4028	11504410
1012	1148238
3911	11305645
1447	1470595
2535	9375170
3075	7634248
1257	1539747
4057	9048718
902	6207800
4281	1023473
858	1767670
217	3821920
2676	10533754
3836	1780223
1361	9476232
1835	9183814
2249	926584
900	1306858
2696	9295131
3900	6118270
3479	6477953
2684	11565842
2407	5742599
4061	6118164
1020	1079786
4918	3861064
2706	9037120
2313	9142764
1286	5664681
403	11418954
1672	1059724
829	10541994
3037	3504542
1727	8209152
3338	3552237
2274	6473018
4097	5702496
2248	3056113
3712	3659360
4739	6201039
1999	6452023
2946	153339
3935	10531939
1857	3328810
3832	5742446
1539	1310379
3790	9271866
2891	6123416
4103	302236
4111	11320033
1171	356441
54	3660868
3134	12145838
2647	2063295
4163	1516460
955	11299693
4044	936268
3834	10589328
335	6170359
313	4077801
3160	11503705
69	4065233
163	1723097
939	7415104
4504	7649824
489	10519961
2388	6184064
753	3325053
